Date,Time,Location,Sub-location,Source,Notes,Longitude,Latitude,Postal,Area
5/30/2021,1100h - 2200h,Hougang Green Shopping Mall (21 Hougang Street 51),Pizza Hut,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8878471,1.379317835,538719,Sengkang
5/30/2021,1125h - 1200h,Ang Mo Supermarket (642 Hougang Avenue 8),NaN,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04,103.8799483,1.371698789,530642,Seletar
5/30/2021,1200h - 1300h,Bugis Street (3 New Bugis Street),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8549352,1.300566095,188867,Rochor
5/30/2021,1230h - 2030h,ION Orchard (2 Orchard Turn),Guardian,https://www.todayonline.com/singapore/bukit-merah-view-market-ion-orchard-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-14, Date is till 1 Jun 2021",103.8317743,1.30419842,NIL,Orchard
5/30/2021,1350h - 1440h,NTUC FairPrice (37 Teban Gardens Road),NaN,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-13,103.7426515,1.320520268,600037,Jurong East
5/30/2021,1550h - 1650h,Choa Chu Kang Columbarium (51 Chinese Cemetery Path 4),NaN,https://www.todayonline.com/singapore/3-supermarkets-bukit-panjang-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-08,103.6866196,1.374322173,698932,Jurong West
5/30/2021,1800h - 1900h,Hong Yang Health Products & Foot Reflexology Centre (38 Beo Crescent),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.82729,1.288553932,160038,Outram
5/30/2021,2005h - 0005h,Marina Bay Sands Casino (10 Bayfront Avenue),NaN,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03,103.8585622,1.282574527,18956,Straits View
5/29/2021,0110h - 0530h,Marina Bay Sands Casino (10 Bayfront Avenue),NaN,https://www.todayonline.com/singapore/plaza-singapura-and-seletar-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-02,103.8585622,1.282574527,18956,Straits View
5/29/2021,0600h - 1900h,"ION Orchard (2 Orchard Turn) 
",NaN,https://www.todayonline.com/singapore/hdb-hub-redhill-market-among-places-visited-covid-19-cases-while-infectious,"Added/ Updated on 2021-06-13, Date is till 7 Jun 2021",103.8317743,1.30419842,NIL,Orchard
